variable_name,model_block,preferred_source,expected_frequency,stress_test_role,inclusion_status
total_assets,Balance sheet,FDIC/FFIEC/FR_Y9C,Quarterly,Scale variable for bank size.,Core
total_loans,Balance sheet,FDIC/FFIEC/FR_Y9C,Quarterly,Credit exposure base.,Core
commercial_loans,Balance sheet,FDIC/FFIEC/FR_Y9C,Quarterly,Commercial credit-loss channel.,Core
consumer_loans,Balance sheet,FDIC/FFIEC/FR_Y9C,Quarterly,Consumer credit-loss channel.,Core
credit_card_loans,Balance sheet,FDIC/FFIEC/FR_Y9C,Quarterly,Credit-card loss channel.,Core
residential_mortgages,Balance sheet,FDIC/FFIEC/FR_Y9C,Quarterly,Mortgage credit-loss channel.,Core
allowance_credit_losses,Balance sheet,FDIC/FFIEC/FR_Y9C,Quarterly,Loss absorption and credit-quality indicator.,Core
nonperforming_loans,Balance sheet,FDIC/FFIEC/FR_Y9C,Quarterly,Credit-quality deterioration indicator.,Core
net_charge_offs,Balance sheet,FDIC/FFIEC/FR_Y9C,Quarterly,Realized credit-loss flow.,Core
loan_loss_provisions,Income and losses,FDIC/FFIEC/FR_Y9C,Quarterly,Provisioning and expected-loss flow.,Core
net_interest_income,Income and losses,FDIC/FFIEC/FR_Y9C,Quarterly,Core earnings before provisions.,Core
noninterest_income,Income and losses,FDIC/FFIEC/FR_Y9C,Quarterly,Revenue diversification and PPNR component.,Core
noninterest_expense,Income and losses,FDIC/FFIEC/FR_Y9C,Quarterly,Operating-cost and efficiency channel.,Core
pre_provision_net_revenue,Income and losses,FDIC/FFIEC/FR_Y9C,Quarterly,Pre-provision earnings stress buffer.,Core
net_income,Income and losses,FDIC/FFIEC/FR_Y9C,Quarterly,Bottom-line profitability.,Core
cet1_capital,Capital and solvency,FDIC/FFIEC/FR_Y9C,Quarterly,Core regulatory capital stock.,Core
tier1_capital,Capital and solvency,FDIC/FFIEC/FR_Y9C,Quarterly,Tier 1 capital stock.,Core
total_risk_based_capital,Capital and solvency,FDIC/FFIEC/FR_Y9C,Quarterly,Total regulatory capital stock.,Core
risk_weighted_assets,Capital and solvency,FDIC/FFIEC/FR_Y9C,Quarterly,Capital denominator.,Core
cet1_ratio,Capital and solvency,FDIC/FFIEC/FR_Y9C,Quarterly,Primary solvency stress metric.,Core
tier1_ratio,Capital and solvency,FDIC/FFIEC/FR_Y9C,Quarterly,Secondary solvency metric.,Core
total_capital_ratio,Capital and solvency,FDIC/FFIEC/FR_Y9C,Quarterly,Total capital adequacy metric.,Core
leverage_ratio,Capital and solvency,FDIC/FFIEC/FR_Y9C,Quarterly,Balance-sheet leverage metric.,Core
deposits,Funding and liquidity,FDIC/FFIEC/FR_Y9C,Quarterly,Deposit funding base.,Core
wholesale_funding,Funding and liquidity,FDIC/FFIEC/FR_Y9C,Quarterly,Market funding sensitivity.,Core
liquid_assets,Funding and liquidity,FDIC/FFIEC/FR_Y9C,Quarterly,Liquidity buffer.,Core
treasury_securities,Funding and liquidity,FDIC/FFIEC/FR_Y9C,Quarterly,Sovereign securities exposure.,Core
agency_mbs,Funding and liquidity,FDIC/FFIEC/FR_Y9C,Quarterly,Agency mortgage-backed securities exposure.,Core
trading_assets,Funding and liquidity,FDIC/FFIEC/FR_Y9C,Quarterly,Trading and market-risk exposure.,Core
dFAST_projected_losses,DFAST benchmark,FED_DFAST,Annual,Supervisory benchmark for losses.,Core
dFAST_projected_ppnr,DFAST benchmark,FED_DFAST,Annual,Supervisory benchmark for PPNR.,Core
dFAST_minimum_cet1_ratio,DFAST benchmark,FED_DFAST,Annual,Supervisory benchmark for solvency.,Core
gdp_growth,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Macro scenario driver.,Core
unemployment_rate,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Credit-loss and household stress driver.,Core
cpi_inflation,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Inflation and rate-stress driver.,Core
fed_funds_rate,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Short-rate scenario driver.,Core
treasury_10y_rate,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Long-rate and securities valuation driver.,Core
house_price_index,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Mortgage and collateral-value driver.,Core
corporate_bond_spread,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Credit-spread and market-stress driver.,Core
stock_market_index,Macro scenario,FRED / Federal Reserve scenarios,Quarterly/Annual scenario path,Equity-market and market-risk driver.,Core
