concept,explanation
Stress test,A forward-looking exercise that evaluates how a bank performs under adverse economic and financial conditions.
DFAST-style replication,"A public-data reconstruction of selected stress test outputs, without access to confidential supervisory models."
Scenario,A coherent set of macroeconomic and financial assumptions used to project bank outcomes.
Severely adverse scenario,A severe hypothetical scenario designed to test resilience under material stress.
Credit losses,Losses generated by loan portfolios and credit exposures during the stress horizon.
PPNR,Pre-provision net revenue; a measure of earnings available to absorb losses before provisions.
Provision,Allowance or expense recognized to absorb expected credit losses.
CET1 ratio,Common Equity Tier 1 capital divided by risk-weighted assets.
Capital depletion,Reduction in capital ratio between the starting point and the stressed minimum.
Risk-weighted assets,Assets adjusted by regulatory risk weights to reflect relative riskiness.
Benchmark validation,Comparison of model projections with observed public DFAST benchmark outcomes.
Model risk,"Risk that a model produces inaccurate, unstable or misleading results."
Tail error,A large error located in the extreme part of the error distribution.
Threshold classification,Classification of observations as above or below selected capital thresholds.
Vulnerability ranking,Relative ranking of banks according to model-based stress vulnerability indicators.
